ID_VENTA;FECHA;NUM_DOCUMENTO_VENDEDOR;ID_PRODUCTO;CANTIDAD;VALOR_TOTAL
V00001;2025-03-14;0909683991;PROD009;9;7979,13
V00002;2025-02-25;0348053928;PROD007;4;1100,90
V00003;2025-03-04;0154065057;PROD015;1;950,96
V00004;2025-03-12;0179974149;PROD013;9;4350,97
V00005;2025-02-27;0912385962;PROD002;5;1678,90
V00006;2025-03-14;0827731255;PROD008;4;1646,45
V00007;2025-03-01;0814178216;PROD007;9;726,62
V00008;2025-03-12;0778330172;PROD002;10;2895,83
V00009;2025-02-25;0178755938;PROD005;10;5371,64
V00010;2025-03-22;0325609377;PROD009;7;1055,30
V00011;2025-03-20;0237061908;PROD006;5;1567,51
V00012;2025-02-25;0332118022;PROD004;9;3266,84
V00013;2025-02-27;0274350458;PROD001;7;4942,01
V00014;2025-03-03;0950503049;PROD007;5;3485,27
V00015;2025-03-18;0544760427;PROD011;1;194,51
V00016;2025-03-17;0742585315;PROD002;8;509,08
V00017;2025-03-21;0515026102;PROD001;1;865,12
V00018;2025-03-07;0971262696;PROD006;5;2969,94
V00019;2025-03-18;0370113429;PROD006;6;4717,06
V00020;2025-03-13;0933405453;PROD011;7;6695,17
